
,W_A_755,W_ER_319,Calc,Module Type,144 Cell,144 Cell,144 Cell,144 Cell,144 Cell,144 Cell,144 Cell,144 Cell,144 Cell,144 Cell,,72 Cell,,,,Calculation,Early Stage,,,,,,,,,,,,
,W_A_743,W_ER_277,Calc,Module Length (mm),2278,2278,2278,2278,2278,2278,2278,2278,2278,2278,,2278,,,,,,B52,,,,,,,,,,,
,W_A_744,W_ER_278,Calc,Module Width (mm),1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,,1134,,,,,,B53,,,,,,,,,,,
,W_A_745,W_ER_279,Calc,Module Vmpp,42.07,42.07,41.64,42.07,42.07,42.71,42.07,42.07,42.07,42.07,,42.27,,,,,,B54,,,,,,,,,,,
,W_A_753,W_ER_280,Calc,Module Impp,15.58,15.58,15.33,15.58,15.58,14.94,15.58,15.58,15.58,15.58,,14.8235,,,,,,B55,,,,,,,,,,,
,W_A_746,W_ER_281,Calc,Module Amps (Isc),16.46,16.46,16.18,16.46,16.46,15.71,16.46,16.46,16.46,16.46,,15.6055,,,,,,B56,,,,,,,,,,,
,W_A_48,W_ER_275,Calc,Modules per String,27,26,26,27,26,26,26,26,26,26,,27,,,,,,B58,,,,,,,,,,,
,W_A_756,W_ER_276,Calc,Strings per Circuit,2,2,2,2,2,2,2,2,2,2,,2,,,,,,B59,,,,,,,,,,,
,,W_ER_359,Calc,Total Anticipated Blended Module Cost (For Information Only) ($/Wdc),0.3119,0.308773,0.316531,0.3119,0.3119,0.3291,0.308773,0.308773,0.308773,0.308773,,0.3635,,,,,,,,,,,,,,,,,
,,W_ER_80,,Inverter Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,W_A_53,W_ER_81,Req,Type of Inverter,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,,Central,,,,Default,Early Stage,B56,Inverter Type,,,,,,,,,,
,,W_ER_348,Req,Inverter Manufacturer,PowerElectronics,PowerElectronics,PowerElectronics,PowerElectronics,PowerElectronics,PowerElectronics,PowerElectronics,PowerElectronics,PowerElectronics,PowerElectronics,,PowerElectronics,,,,,,,,,,,,,,,,,
